strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
ema_cross_9_20,XPTUSD,D1,1.0,1.5,1.5,True,46,54.35,0.009,0.009,0.663,-4339.92,0.016,2,4768.16,4.75,,0.009,8.7,0.05,-30.0,27,19,63.16,0.1859
donchian_20,XAGUSD,M15,1.0,1.5,1.5,True,302,54.3,0.0079,0.0079,0.99,-636.64,2.452,6,8657.41,8.2,,0.008,8.61,0.05,-30.0,192,110,53.64,-0.0091
ema_cross_9_20,USDJPY,H1,1.0,1.5,1.5,True,155,54.19,-0.1638,-0.1638,0.617,-876.57,0.33,6,935.75,0.94,,-0.165,8.39,0.05,-30.0,95,60,53.33,-0.2059
ema_cross_9_20,AUDUSD,D1,1.0,1.5,1.5,True,48,54.17,-0.0265,-0.0265,1.077,170.59,0.017,4,555.18,0.55,,-0.026,8.33,0.05,-30.0,25,23,47.83,-0.1543
ema_cross_12_26,XAUUSD,H1,1.0,1.5,1.5,True,120,54.17,-0.0031,-0.0031,1.034,458.31,0.241,5,1704.06,1.67,,-0.003,8.33,0.05,-30.0,71,49,48.98,-0.0904
rsi_30_70,XAGUSD,M15,1.0,1.5,1.5,True,109,54.13,0.0066,0.0066,1.143,4168.04,0.885,5,4059.0,3.91,1.9,0.007,8.26,0.05,8.62,57,52,50.0,-0.0792
ema_cross_12_26,XAGUSD,H1,1.0,1.5,1.5,True,122,54.1,-0.0098,-0.0098,0.982,-387.04,0.245,4,6981.85,6.59,,-0.01,8.2,0.05,-30.0,76,46,54.35,0.014
donchian_20,US30.cash,H1,1.0,1.5,1.5,True,309,54.05,-0.2639,-0.2639,0.633,-1152.79,0.621,10,1255.92,1.26,,-0.263,8.09,0.05,-30.0,185,124,55.65,-0.2129
donchian_55,XPDUSD,D1,1.0,1.5,1.5,True,50,54.0,0.0054,0.0054,0.818,-4630.1,0.018,6,9506.83,9.19,,0.005,8.0,0.05,-30.0,36,14,57.14,0.0671
donchian_55,XAGUSD,M15,1.0,1.5,1.5,True,195,53.85,-0.0022,-0.0022,0.995,-172.63,1.583,7,6097.79,5.84,,-0.002,7.69,0.05,-30.0,134,61,52.46,-0.0334
ema_pullback_20_50,EURJPY,D1,1.0,1.5,1.5,True,196,53.57,-0.1203,-0.1203,0.804,-1649.04,0.07,7,1993.08,1.99,,-0.121,7.14,0.05,-30.0,118,78,53.85,-0.0961
rsi_30_70,GBPUSD,M15,1.0,1.5,1.5,True,112,53.57,-0.3087,-0.3087,0.574,-418.51,0.971,5,429.81,0.43,,-0.306,7.14,0.05,-30.0,69,43,60.47,-0.1914
rsi_30_70,XPTUSD,H1,1.0,1.5,1.5,True,73,53.42,-0.0202,-0.0202,0.904,-1305.22,0.147,6,5277.56,5.14,,-0.02,6.85,0.05,-30.0,30,43,53.49,-0.0064
